Year,Week Index,Bounce Rate,% Exit
2013,34,38.01%,23.95%
2013,35,37.82%,23.84%
2013,36,36.11%,23.39%
2013,37,37.94%,23.96%
2013,38,37.67%,24.49%
2013,39,36.54%,23.91%
2013,40,37.80%,24.37%
2013,41,37.44%,23.70%
2013,42,39.27%,24.71%
2013,43,37.40%,23.48%
2013,44,38.16%,24.21%
2013,45,40.53%,25.84%
2013,46,42.70%,26.29%
2013,47,43.22%,26.71%
2013,48,40.78%,25.28%
2013,49,43.34%,26.44%
2013,50,42.67%,26.75%
2013,51,41.26%,26.05%
2013,52,42.33%,26.64%
2014,1,41.43%,25.68%
2014,2,42.74%,26.49%
2014,3,43.48%,27.12%
2014,4,42.95%,26.94%
2014,5,42.37%,26.22%
2014,6,42.63%,26.45%
2014,7,42.77%,26.33%
2014,8,40.12%,25.57%
2014,9,41.67%,26.00%
2014,10,40.90%,26.10%
2014,11,43.54%,27.17%
2014,12,42.91%,26.41%
2014,13,43.82%,27.07%
2014,14,41.49%,26.39%
2014,15,41.73%,26.21%
2014,16,40.41%,25.45%
2014,17,40.93%,26.18%
2014,18,40.89%,25.92%
2014,19,40.76%,26.23%
2014,20,41.22%,26.97%
2014,21,42.60%,27.08%
2014,22,41.70%,26.82%
2014,23,41.73%,26.57%
2014,24,42.58%,27.07%
2014,25,41.48%,26.41%
2014,26,41.85%,26.65%
2014,27,41.48%,26.84%
2014,28,42.23%,26.95%
2014,29,42.76%,27.00%
2014,30,42.22%,26.91%
2014,31,42.55%,26.92%
2014,32,42.94%,27.28%
2014,33,43.23%,27.24%
2014,34,43.20%,27.45%
2014,35,43.09%,27.20%
2014,36,42.71%,26.93%
2014,37,43.21%,27.23%
2014,38,44.73%,28.25%
2014,39,44.00%,27.17%
2014,40,43.06%,26.09%
2014,41,44.34%,27.39%
2014,42,44.99%,27.71%
2014,43,45.18%,28.10%
2014,44,45.49%,28.18%
2014,45,44.77%,27.88%
2014,46,46.44%,28.40%
2014,47,47.28%,29.19%
2014,48,47.68%,29.35%
2014,49,47.77%,29.49%
2014,50,47.21%,28.85%
2014,51,48.82%,29.71%
2014,52,50.56%,30.84%
2015,1,47.31%,28.34%
2015,2,48.83%,30.12%
2015,3,47.84%,29.41%
2015,4,49.09%,30.09%
2015,5,48.15%,29.66%
2015,6,48.00%,29.43%
2015,7,47.62%,28.43%
2015,8,47.97%,29.51%
2015,9,47.89%,29.38%
2015,10,47.92%,29.71%
2015,11,47.96%,29.78%
2015,12,47.33%,29.50%
2015,13,48.88%,29.98%
2015,14,50.08%,30.78%
2015,15,49.19%,29.79%
2015,16,48.27%,30.08%
2015,17,49.29%,30.21%
2015,18,48.75%,29.86%
2015,19,48.83%,30.65%
2015,20,49.58%,31.05%
2015,21,49.62%,31.59%
2015,22,49.60%,31.22%
2015,23,50.08%,32.02%
2015,24,50.67%,32.00%
2015,25,50.73%,31.96%
2015,26,49.83%,31.47%
2015,27,51.05%,32.06%
2015,28,52.81%,33.28%
2015,29,51.49%,32.45%
2015,30,50.94%,31.93%
2015,31,50.79%,32.15%
2015,32,56.39%,35.05%
2015,33,50.95%,28.87%
2015,34,50.54%,25.05%
2015,35,50.23%,30.47%
2015,36,50.58%,30.84%
2015,37,52.61%,27.57%
2015,38,50.97%,24.91%
2015,39,50.51%,25.88%
2015,40,50.03%,29.80%
2015,41,50.55%,31.69%
2015,42,51.98%,32.08%
2015,43,52.13%,32.43%
2015,44,51.81%,31.93%
